                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 13.253,                 14.151,                 8.3311,                      0,                      0,                      0,                      0,                 13.564,                  11.12,                 8.3193,                      0,                      0,                      0
                      2,                 13.042,                 13.403,                 8.6756,                      0,                      0,                      0,                      0,                 13.564,                 11.122,                 8.3194,             1.7483e-06,             1.7483e-06,             1.7483e-06
                      3,                 13.428,                 13.668,                 8.4499,                      0,                      0,                      0,                      0,                 13.564,                 11.123,                 8.3198,             3.4931e-06,             3.4931e-06,             3.4931e-06
                      4,                 12.992,                 13.104,                 8.4972,                      0,                      0,                      0,                      0,                 13.564,                 11.123,                 8.3199,             5.2344e-06,             5.2344e-06,             5.2344e-06
                      5,                 13.026,                 12.242,                 8.4355,                      0,                      0,                      0,                      0,                 13.564,                 11.123,                 8.3213,             6.9723e-06,             6.9723e-06,             6.9723e-06
                      6,                 12.995,                 12.754,                 8.3698,                      0,                      0,                      0,                      0,                 13.564,                 11.123,                 8.3195,             8.7067e-06,             8.7067e-06,             8.7067e-06
                      7,                 12.649,                 13.036,                 8.6057,                      0,                      0,                      0,                      0,                 13.564,                 11.123,                 8.3211,             1.0438e-05,             1.0438e-05,             1.0438e-05
                      8,                 13.145,                 13.074,                 8.3659,                      0,                      0,                      0,                      0,                 13.564,                 11.124,                 8.3216,             1.2165e-05,             1.2165e-05,             1.2165e-05
                      9,                  13.13,                 12.519,                 8.4533,                      0,                      0,                      0,                      0,                 13.564,                 11.118,                 8.3221,             1.3889e-05,             1.3889e-05,             1.3889e-05
                     10,                 12.861,                 13.582,                 8.2625,                      0,                      0,                      0,                      0,                 13.564,                 11.118,                 8.3227,              1.561e-05,              1.561e-05,              1.561e-05
                     11,                  13.17,                 13.186,                 8.3346,                      0,                      0,                      0,                      0,                 13.564,                 11.119,                 8.3223,             1.7327e-05,             1.7327e-05,             1.7327e-05
                     12,                 13.386,                 14.181,                 8.2551,                      0,                      0,                      0,                      0,                 13.564,                 11.121,                 8.3229,              1.904e-05,              1.904e-05,              1.904e-05
                     13,                  13.09,                 13.869,                 8.3416,                      0,                      0,                      0,                      0,                 13.564,                 11.124,                 8.3231,             2.0751e-05,             2.0751e-05,             2.0751e-05
                     14,                 13.415,                  14.72,                 8.3001,                      0,                      0,                      0,                      0,                 13.563,                 11.126,                 8.3222,             2.2457e-05,             2.2457e-05,             2.2457e-05
                     15,                 13.171,                 12.763,                 8.1229,                      0,                      0,                      0,                      0,                 13.563,                 11.127,                 8.3238,              2.416e-05,              2.416e-05,              2.416e-05
                     16,                 12.808,                 12.433,                 8.1662,                      0,                      0,                      0,                      0,                 13.563,                 11.121,                 8.3235,              2.586e-05,              2.586e-05,              2.586e-05
                     17,                 12.977,                 13.065,                 8.0437,                      0,                      0,                      0,                      0,                 13.563,                 11.121,                 8.3237,             2.7556e-05,             2.7556e-05,             2.7556e-05
                     18,                 13.453,                 14.342,                 8.1553,                      0,                      0,                      0,                      0,                 13.563,                 11.121,                 8.3237,             2.9249e-05,             2.9249e-05,             2.9249e-05
                     19,                 13.392,                 13.162,                 8.1414,                      0,                      0,                      0,                      0,                 13.563,                 11.121,                  8.324,             3.0939e-05,             3.0939e-05,             3.0939e-05
                     20,                 12.644,                 13.197,                  8.044,                      0,                      0,                      0,                      0,                 13.563,                 11.121,                  8.324,             3.2625e-05,             3.2625e-05,             3.2625e-05
                     21,                 13.027,                 13.503,                 7.9521,                      0,                      0,                      0,                      0,                 13.563,                 11.124,                 8.3236,             3.4307e-05,             3.4307e-05,             3.4307e-05
                     22,                 12.807,                 12.876,                 7.9596,                      0,                      0,                      0,                      0,                 13.563,                 11.124,                 8.3236,             3.5986e-05,             3.5986e-05,             3.5986e-05
                     23,                 12.823,                 12.883,                 7.9562,                      0,                      0,                      0,                      0,                 13.563,                 11.123,                  8.324,             3.7661e-05,             3.7661e-05,             3.7661e-05
                     24,                 12.869,                 12.873,                 7.7777,                      0,                      0,                      0,                      0,                 13.563,                 11.123,                  8.324,             3.9334e-05,             3.9334e-05,             3.9334e-05
                     25,                 12.812,                 12.897,                 7.8493,                      0,                      0,                      0,                      0,                 13.563,                 11.128,                 8.3255,             4.1002e-05,             4.1002e-05,             4.1002e-05
                     26,                 12.551,                 12.178,                 7.7453,                      0,                      0,                      0,                      0,                 13.563,                 11.128,                 8.3255,             4.2667e-05,             4.2667e-05,             4.2667e-05
                     27,                 13.058,                 12.795,                 7.7166,                      0,                      0,                      0,                      0,                 13.563,                 11.122,                 8.3269,             4.4329e-05,             4.4329e-05,             4.4329e-05
                     28,                 13.022,                 12.849,                 7.3852,                      0,                      0,                      0,                      0,                 13.563,                 11.122,                 8.3269,             4.5987e-05,             4.5987e-05,             4.5987e-05
                     29,                 12.354,                 12.103,                 7.5722,                      0,                      0,                      0,                      0,                 13.563,                 11.125,                 8.3299,             4.7642e-05,             4.7642e-05,             4.7642e-05
                     30,                 12.224,                 11.913,                 7.4172,                      0,                      0,                      0,                      0,                 13.563,                 11.125,                 8.3299,             4.9293e-05,             4.9293e-05,             4.9293e-05
                     31,                 12.037,                  12.15,                 7.3275,                      0,                      0,                      0,                      0,                 13.563,                 11.124,                  8.333,             5.0941e-05,             5.0941e-05,             5.0941e-05
                     32,                 11.836,                 12.444,                 7.2684,                      0,                      0,                      0,                      0,                 13.563,                 11.124,                  8.333,             5.2585e-05,             5.2585e-05,             5.2585e-05
                     33,                 12.256,                 11.717,                 7.2444,                      0,                      0,                      0,                      0,                 13.564,                 11.125,                 8.3364,             5.4226e-05,             5.4226e-05,             5.4226e-05
                     34,                 11.959,                 12.083,                 7.1571,                      0,                      0,                      0,                      0,                 13.564,                 11.125,                 8.3364,             5.5863e-05,             5.5863e-05,             5.5863e-05
                     35,                 12.714,                 13.064,                 7.2829,                      0,                      0,                      0,                      0,                 13.565,                 11.126,                 8.3429,             5.7497e-05,             5.7497e-05,             5.7497e-05
                     36,                 11.857,                 11.696,                 7.0118,                      0,                      0,                      0,                      0,                 13.565,                 11.126,                 8.3429,             5.9128e-05,             5.9128e-05,             5.9128e-05
                     37,                 12.134,                 12.175,                 7.0178,                      0,                      0,                      0,                      0,                 13.566,                 11.128,                 8.3503,             6.0755e-05,             6.0755e-05,             6.0755e-05
                     38,                 11.576,                 11.742,                 6.9815,                      0,                      0,                      0,                      0,                 13.566,                 11.128,                 8.3503,             6.2378e-05,             6.2378e-05,             6.2378e-05
                     39,                 11.896,                 11.715,                 6.7272,                      0,                      0,                      0,                      0,                 13.566,                 11.131,                 8.3569,             6.3998e-05,             6.3998e-05,             6.3998e-05
                     40,                 11.526,                 11.654,                 6.6854,                      0,                      0,                      0,                      0,                 13.566,                 11.131,                 8.3569,             6.5615e-05,             6.5615e-05,             6.5615e-05
                     41,                 11.131,                  11.75,                 6.8467,                      0,                      0,                      0,                      0,                 13.567,                  11.13,                 8.3648,             6.7228e-05,             6.7228e-05,             6.7228e-05
                     42,                 12.098,                 12.115,                 6.4655,                      0,                      0,                      0,                      0,                 13.567,                  11.13,                 8.3648,             6.8838e-05,             6.8838e-05,             6.8838e-05
                     43,                 11.744,                 11.624,                 6.5565,                      0,                      0,                      0,                      0,                 13.568,                 11.133,                 8.3764,             7.0444e-05,             7.0444e-05,             7.0444e-05
                     44,                 10.433,                 11.741,                 6.2298,                      0,                      0,                      0,                      0,                 13.568,                 11.133,                 8.3764,             7.2047e-05,             7.2047e-05,             7.2047e-05
                     45,                 10.926,                 11.423,                 6.3868,                      0,                      0,                      0,                      0,                 13.569,                 11.133,                 8.3882,             7.3646e-05,             7.3646e-05,             7.3646e-05
                     46,                 9.2185,                 11.395,                 6.5437,                      0,                      0,                      0,                      0,                 13.569,                 11.133,                 8.3882,             7.5242e-05,             7.5242e-05,             7.5242e-05
                     47,                 9.9847,                 11.393,                 6.1525,                      0,                      0,                      0,                      0,                 13.571,                 11.132,                  8.401,             7.6834e-05,             7.6834e-05,             7.6834e-05
                     48,                 9.6578,                 11.275,                  6.355,                      0,                      0,                      0,                      0,                 13.571,                 11.132,                  8.401,             7.8423e-05,             7.8423e-05,             7.8423e-05
