                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 5.6135,                 5.3377,                 6.4162,                      0,                      0,                      0,                      0,                 8.4953,                 9.3554,                 8.4463,             0.00049611,             0.00049611,             0.00049611
                     38,                 5.3688,                 4.7776,                 5.5893,                      0,                      0,                      0,                      0,                 8.4953,                 9.3554,                 8.4463,             0.00050936,             0.00050936,             0.00050936
                     39,                 5.7106,                 5.7613,                 6.7031,                      0,                      0,                      0,                      0,                 8.5272,                 9.3705,                 8.4634,             0.00052259,             0.00052259,             0.00052259
                     40,                 5.7029,                 6.1167,                 6.3702,                      0,                      0,                      0,                      0,                 8.5272,                 9.3705,                 8.4634,             0.00053579,             0.00053579,             0.00053579
                     41,                 7.5872,                 6.7045,                 6.6497,                      0,                      0,                      0,                      0,                  8.533,                 9.3836,                 8.4696,             0.00054896,             0.00054896,             0.00054896
                     42,                 6.4703,                 6.2132,                 6.0966,                      0,                      0,                      0,                      0,                  8.533,                 9.3836,                 8.4696,             0.00056211,             0.00056211,             0.00056211
                     43,                 4.6676,                 5.9682,                 6.1651,                      0,                      0,                      0,                      0,                 8.5155,                 9.3897,                 8.4615,             0.00057522,             0.00057522,             0.00057522
                     44,                 4.9727,                 5.2256,                  5.754,                      0,                      0,                      0,                      0,                 8.5155,                 9.3897,                 8.4615,             0.00058831,             0.00058831,             0.00058831
                     45,                 6.3435,                 5.2108,                 5.6886,                      0,                      0,                      0,                      0,                 8.5303,                 9.4049,                  8.469,             0.00060137,             0.00060137,             0.00060137
                     46,                 5.3484,                 5.5403,                 6.4338,                      0,                      0,                      0,                      0,                 8.5303,                 9.4049,                  8.469,              0.0006144,              0.0006144,              0.0006144
                     47,                 5.0862,                 6.0815,                 6.4433,                      0,                      0,                      0,                      0,                 8.6104,                 9.4473,                 8.5092,              0.0006274,              0.0006274,              0.0006274
                     48,                 5.3061,                 4.6453,                 5.3897,                      0,                      0,                      0,                      0,                 8.6104,                 9.4473,                 8.5092,             0.00064038,             0.00064038,             0.00064038
                     49,                 4.9917,                 4.6262,                 5.5164,                      0,                      0,                      0,                      0,                  8.714,                  9.488,                 8.5619,             0.00065333,             0.00065333,             0.00065333
                     50,                 5.6077,                 5.2863,                 5.8686,                      0,                      0,                      0,                      0,                  8.714,                  9.488,                 8.5619,             0.00066624,             0.00066624,             0.00066624
                     51,                 4.8448,                 5.1804,                 5.4775,                      0,                      0,                      0,                      0,                 8.8176,                 9.5293,                 8.6087,             0.00067913,             0.00067913,             0.00067913
                     52,                 6.3839,                 5.0719,                 5.1265,                      0,                      0,                      0,                      0,                 8.8176,                 9.5293,                 8.6087,             0.00069199,             0.00069199,             0.00069199
                     53,                 4.4528,                 5.3065,                 5.7006,                      0,                      0,                      0,                      0,                 8.8176,                 9.5293,                 8.6087,             0.00070483,             0.00070483,             0.00070483
                     54,                 6.0257,                 4.6592,                 5.0267,                      0,                      0,                      0,                      0,                 8.9878,                 9.5956,                  8.689,             0.00071763,             0.00071763,             0.00071763
                     55,                  5.253,                 4.9622,                 5.2987,                      0,                      0,                      0,                      0,                 8.9878,                 9.5956,                  8.689,             0.00073041,             0.00073041,             0.00073041
                     56,                 4.8087,                 5.0296,                 5.3336,                      0,                      0,                      0,                      0,                 8.9878,                 9.5956,                  8.689,             0.00074316,             0.00074316,             0.00074316
                     57,                 4.4669,                 4.8822,                 4.8482,                      0,                      0,                      0,                      0,                 9.0653,                  9.624,                 8.7356,             0.00075587,             0.00075587,             0.00075587
                     58,                 5.0627,                 4.9303,                 5.7365,                      0,                      0,                      0,                      0,                 9.0653,                  9.624,                 8.7356,             0.00076857,             0.00076857,             0.00076857
                     59,                 4.3385,                 4.5129,                 4.9334,                      0,                      0,                      0,                      0,                 9.0653,                  9.624,                 8.7356,             0.00078123,             0.00078123,             0.00078123
                     60,                 4.8622,                 4.3513,                 5.0828,                      0,                      0,                      0,                      0,                 9.1225,                 9.6567,                 8.7767,             0.00079386,             0.00079386,             0.00079386
                     61,                 4.8159,                 4.3506,                 4.9898,                      0,                      0,                      0,                      0,                 9.1225,                 9.6567,                 8.7767,             0.00080647,             0.00080647,             0.00080647
                     62,                 4.5382,                 4.8272,                 5.1343,                      0,                      0,                      0,                      0,                 9.1225,                 9.6567,                 8.7767,             0.00081905,             0.00081905,             0.00081905
                     63,                 4.3892,                 5.3913,                 5.8998,                      0,                      0,                      0,                      0,                 9.1624,                 9.6759,                 8.8044,              0.0008316,              0.0008316,              0.0008316
                     64,                 4.6669,                 4.1131,                 4.2356,                      0,                      0,                      0,                      0,                 9.1624,                 9.6759,                 8.8044,             0.00084412,             0.00084412,             0.00084412
                     65,                 5.0643,                 4.6247,                 4.5518,                      0,                      0,                      0,                      0,                 9.1624,                 9.6759,                 8.8044,             0.00085661,             0.00085661,             0.00085661
                     66,                 6.1639,                 4.4667,                 4.4191,                      0,                      0,                      0,                      0,                 9.1684,                 9.6728,                 8.7868,             0.00086908,             0.00086908,             0.00086908
                     67,                 4.6373,                 3.9076,                 4.4901,                      0,                      0,                      0,                      0,                 9.1684,                 9.6728,                 8.7868,             0.00088152,             0.00088152,             0.00088152
                     68,                 4.2312,                 3.9261,                 4.2057,                      0,                      0,                      0,                      0,                 9.1684,                 9.6728,                 8.7868,             0.00089392,             0.00089392,             0.00089392
                     69,                 4.2785,                  5.122,                 5.3782,                      0,                      0,                      0,                      0,                 9.2784,                  9.711,                 8.8585,              0.0009063,              0.0009063,              0.0009063
                     70,                 3.8135,                 4.6788,                 4.8439,                      0,                      0,                      0,                      0,                 9.2784,                  9.711,                 8.8585,             0.00091866,             0.00091866,             0.00091866
                     71,                 5.1962,                 4.0337,                 4.6616,                      0,                      0,                      0,                      0,                 9.2784,                  9.711,                 8.8585,             0.00093098,             0.00093098,             0.00093098
                     72,                 4.4896,                 4.2703,                 4.6633,                      0,                      0,                      0,                      0,                 9.2132,                 8.9962,                 8.8205,             0.00094327,             0.00094327,             0.00094327
                     73,                 4.1188,                 5.3604,                 5.1848,                      0,                      0,                      0,                      0,                 9.2132,                 8.9962,                 8.8205,             0.00095554,             0.00095554,             0.00095554
                     74,                 4.4254,                 4.6109,                 4.5201,                      0,                      0,                      0,                      0,                 9.2132,                 8.9962,                 8.8205,             0.00096778,             0.00096778,             0.00096778
                     75,                 5.4903,                 3.8319,                 4.0887,                      0,                      0,                      0,                      0,                 9.1172,                  8.673,                 8.7948,             0.00097999,             0.00097999,             0.00097999
                     76,                 3.8919,                 4.3592,                 4.3299,                      0,                      0,                      0,                      0,                 9.1172,                  8.673,                 8.7948,             0.00099217,             0.00099217,             0.00099217
                     77,                 4.6571,                  4.588,                  4.661,                      0,                      0,                      0,                      0,                 9.1172,                  8.673,                 8.7948,              0.0010043,              0.0010043,              0.0010043
                     78,                 5.5723,                 4.1456,                 4.3531,                      0,                      0,                      0,                      0,                 9.1129,                 8.5243,                 8.7759,              0.0010165,              0.0010165,              0.0010165
                     79,                 4.1671,                 4.4066,                 4.7994,                      0,                      0,                      0,                      0,                 9.1129,                 8.5243,                 8.7759,              0.0010285,              0.0010285,              0.0010285
                     80,                 3.9444,                 4.0238,                   4.07,                      0,                      0,                      0,                      0,                 9.1129,                 8.5243,                 8.7759,              0.0010406,              0.0010406,              0.0010406
                     81,                 5.8993,                 4.4511,                 4.8427,                      0,                      0,                      0,                      0,                 9.0724,                 8.4859,                 8.7698,              0.0010527,              0.0010527,              0.0010527
                     82,                 4.5241,                 3.9736,                 4.1188,                      0,                      0,                      0,                      0,                 9.0724,                 8.4859,                 8.7698,              0.0010647,              0.0010647,              0.0010647
                     83,                 4.0976,                 3.9497,                 3.9341,                      0,                      0,                      0,                      0,                 9.0724,                 8.4859,                 8.7698,              0.0010767,              0.0010767,              0.0010767
                     84,                 4.1688,                 3.7055,                 4.0659,                      0,                      0,                      0,                      0,                 9.0258,                 8.5041,                 8.7237,              0.0010886,              0.0010886,              0.0010886
                     85,                 3.9288,                 4.0586,                  3.798,                      0,                      0,                      0,                      0,                 9.0258,                 8.5041,                 8.7237,              0.0011005,              0.0011005,              0.0011005
                     86,                 4.4237,                 4.7695,                 4.5763,                      0,                      0,                      0,                      0,                 9.0258,                 8.5041,                 8.7237,              0.0011124,              0.0011124,              0.0011124
                     87,                 4.5095,                 3.6604,                 3.9086,                      0,                      0,                      0,                      0,                 9.0258,                 8.5041,                 8.7237,              0.0011243,              0.0011243,              0.0011243
                     88,                 4.8248,                 3.7252,                 3.5772,                      0,                      0,                      0,                      0,                 9.1172,                 8.5428,                 8.7536,              0.0011362,              0.0011362,              0.0011362
                     89,                 4.4927,                 3.5398,                 3.8889,                      0,                      0,                      0,                      0,                 9.1172,                 8.5428,                 8.7536,               0.001148,               0.001148,               0.001148
                     90,                 4.6437,                 3.5323,                 3.6502,                      0,                      0,                      0,                      0,                 9.1172,                 8.5428,                 8.7536,              0.0011598,              0.0011598,              0.0011598
                     91,                 3.9322,                 4.4411,                 4.1238,                      0,                      0,                      0,                      0,                 9.1172,                 8.5428,                 8.7536,              0.0011715,              0.0011715,              0.0011715
                     92,                 4.5739,                 3.5089,                 3.6708,                      0,                      0,                      0,                      0,                 9.1901,                 8.5581,                 8.7722,              0.0011832,              0.0011832,              0.0011832
                     93,                 4.0917,                  3.598,                 3.6795,                      0,                      0,                      0,                      0,                 9.1901,                 8.5581,                 8.7722,              0.0011949,              0.0011949,              0.0011949
                     94,                 3.6083,                 3.8013,                  4.134,                      0,                      0,                      0,                      0,                 9.1901,                 8.5581,                 8.7722,              0.0012066,              0.0012066,              0.0012066
                     95,                 3.9317,                 3.8639,                 4.5877,                      0,                      0,                      0,                      0,                 9.1901,                 8.5581,                 8.7722,              0.0012183,              0.0012183,              0.0012183
                     96,                 4.1473,                 3.5835,                 3.8142,                      0,                      0,                      0,                      0,                 9.0981,                 8.5691,                 8.6951,              0.0012299,              0.0012299,              0.0012299
                     97,                 4.8613,                 3.4623,                 4.0761,                      0,                      0,                      0,                      0,                 9.0981,                 8.5691,                 8.6951,              0.0012415,              0.0012415,              0.0012415
                     98,                 4.2882,                 3.2893,                 3.2375,                      0,                      0,                      0,                      0,                 9.0981,                 8.5691,                 8.6951,               0.001253,               0.001253,               0.001253
                     99,                 3.8922,                 3.3651,                 3.7962,                      0,                      0,                      0,                      0,                 9.0981,                 8.5691,                 8.6951,              0.0012646,              0.0012646,              0.0012646
                    100,                 4.5037,                 3.5754,                 3.4052,                      0,                      0,                      0,                      0,                 8.7969,                 8.5533,                 8.5525,              0.0012761,              0.0012761,              0.0012761
                    101,                 4.2491,                 4.4848,                 4.5102,                      0,                      0,                      0,                      0,                 8.7969,                 8.5533,                 8.5525,              0.0012875,              0.0012875,              0.0012875
                    102,                 4.7859,                 3.3462,                 3.3186,                      0,                      0,                      0,                      0,                 8.7969,                 8.5533,                 8.5525,              0.0012861,              0.0012861,              0.0012861
                    103,                 5.3901,                 4.0107,                 4.1403,                      0,                      0,                      0,                      0,                 8.7969,                 8.5533,                 8.5525,              0.0012847,              0.0012847,              0.0012847
